@relation 'parseResultFiles\\smart_review_data.arff-weka.filters.unsupervised.attribute.Reorder-R1-3,5-last,4-weka.filters.unsupervised.attribute.Discretize-Y-B5-M-1.0-Rlast-unset-class-temporarily'

@attribute id numeric
@attribute product_name {'crosley cr8005a-tu cruiser portable 3-speed turntable turquoise','cuisinart mcp193-18n multiclad pro stainless steel 3-quart saucepan with cover','dymo labelmanager 280 rechargeable hand-held label maker (1815990)','everydrop by whirlpool refrigerator water filter 1 (pack of 1)','iron gym total upper body workout bar','jbl clip 2 waterproof portable bluetooth speaker (teal)','motorola moto g (3rd generation) no contract phone (virgin mobile) - retail packaging','ninja professional blender (bl610)','oster cordless electric wine bottle opener with foil cutter ffp','rolodex deep desk drawer organizer metal mesh black (22131)','samsung galaxy j7 - no contract phone - white - (boost mobile)(carrier locked phone)','set of ten finger hands finger puppets','the crystal bible','uvex skyper blue light blocking computer glasses with sct-orange lens (s1933x)','viviscal extra strength hair nutrient tablets 90-tablets'}
@attribute type {review,title}
@attribute stop_p numeric
@attribute meaning_p numeric
@attribute proper_noun_p numeric
@attribute noun_p numeric
@attribute pronoun_p numeric
@attribute verb_p numeric
@attribute adverb_p numeric
@attribute adjective_p numeric
@attribute wh-word_p numeric
@attribute rating {'\'B1of5\'','\'B2of5\'','\'B3of5\'','\'B4of5\'','\'B5of5\''}

@data
96,'iron gym total upper body workout bar',title,0.125,0.875,0,0.375,0,0,0,0.375,0,'\'B4of5\''
97,'iron gym total upper body workout bar',review,0.414286,0.585714,0,0.185714,0.014286,0.2,0.042857,0.085714,0,'\'B1of5\''
97,'iron gym total upper body workout bar',title,0.181818,0.818182,0,0.181818,0,0.272727,0.090909,0,0,'\'B1of5\''
98,'iron gym total upper body workout bar',review,0.36036,0.63964,0.004505,0.162162,0.022523,0.112613,0.054054,0.04955,0.013514,'\'B4of5\''
98,'iron gym total upper body workout bar',title,0.384615,0.615385,0,0.230769,0.153846,0.230769,0.076923,0,0,'\'B4of5\''
99,'iron gym total upper body workout bar',review,0.430556,0.569444,0,0.138889,0.020833,0.131944,0.0625,0.111111,0.013889,'\'B5of5\''
99,'iron gym total upper body workout bar',title,0,1,0,0.2,0,0,0,0,0,'\'B5of5\''
100,'iron gym total upper body workout bar',review,0.513699,0.486301,0,0.143836,0.013699,0.184932,0.027397,0.047945,0.006849,'\'B1of5\''
100,'iron gym total upper body workout bar',title,0.428571,0.571429,0,0,0.142857,0.428571,0.142857,0.142857,0,'\'B1of5\''
101,'oster cordless electric wine bottle opener with foil cutter ffp',review,0.380769,0.619231,0,0.115385,0.026923,0.119231,0.080769,0.034615,0.011538,'\'B5of5\''
101,'oster cordless electric wine bottle opener with foil cutter ffp',title,0,1,0,0.285714,0,0,0.142857,0,0,'\'B5of5\''
102,'oster cordless electric wine bottle opener with foil cutter ffp',review,0.473822,0.526178,0,0.112565,0.020942,0.128272,0.060209,0.039267,0.007853,'\'B3of5\''
102,'oster cordless electric wine bottle opener with foil cutter ffp',title,0.5,0.5,0,0,0.25,0.25,0,0.25,0,'\'B3of5\''
103,'oster cordless electric wine bottle opener with foil cutter ffp',review,0.397849,0.602151,0,0.157706,0.021505,0.157706,0.043011,0.035842,0.007168,'\'B1of5\''
103,'oster cordless electric wine bottle opener with foil cutter ffp',title,0.090909,0.909091,0,0.272727,0,0.181818,0.090909,0.181818,0,'\'B1of5\''
104,'oster cordless electric wine bottle opener with foil cutter ffp',review,0.367925,0.632075,0,0.141509,0.018868,0.169811,0.028302,0.066038,0.009434,'\'B5of5\''
104,'oster cordless electric wine bottle opener with foil cutter ffp',title,0.266667,0.733333,0,0.266667,0,0.133333,0.133333,0.066667,0,'\'B5of5\''
105,'oster cordless electric wine bottle opener with foil cutter ffp',review,0.508287,0.491713,0,0.104972,0.033149,0.160221,0.033149,0.049724,0.016575,'\'B1of5\''
105,'oster cordless electric wine bottle opener with foil cutter ffp',title,0.380952,0.619048,0,0.285714,0.047619,0.142857,0.047619,0.047619,0,'\'B1of5\''
106,'set of ten finger hands finger puppets',review,0.38806,0.61194,0,0.149254,0.044776,0.238806,0.029851,0.104478,0,'\'B5of5\''
106,'set of ten finger hands finger puppets',title,0.5,0.5,0,0.5,0,0,0,0,0,'\'B5of5\''
107,'set of ten finger hands finger puppets',review,0.377778,0.622222,0,0.111111,0.022222,0.177778,0.066667,0.066667,0.022222,'\'B2of5\''
107,'set of ten finger hands finger puppets',title,0,1,0,0.5,0,0,0,0.5,0,'\'B2of5\''
