@relation 'smart_review_data-weka.filters.unsupervised.attribute.Reorder-R1-3,5-last,4-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-Rlast-unset-class-temporarily'

@attribute id numeric
@attribute product_name {'rubber chicken purse','set of ten finger ha','crosley cr8005a-tu c','jbl clip 2 waterproo','ninja professional b','oster cordless elect','iron gym total upper','everydrop by whirlpo','uvex skyper blue lig','rolodex deep desk dr','dymo labelmanager 28','the crystal bible','cuisinart mcp193-18n','viviscal extra stren','the official bs butt'}
@attribute type {review,title}
@attribute num_words numeric
@attribute 'stop_\%' numeric
@attribute 'meaning_\%' numeric
@attribute 'proper_noun_\%' numeric
@attribute 'noun_\%' numeric
@attribute 'pronoun_\%' numeric
@attribute 'verb_\%' numeric
@attribute 'adverb_\%' numeric
@attribute 'adjective_\%' numeric
@attribute 'wh-word_\%' numeric
@attribute 'missspelled_\%' numeric
@attribute rating {'\'(-inf-1.8]\'','\'(1.8-2.6]\'','\'(2.6-3.4]\'','\'(3.4-4.2]\'','\'(4.2-inf)\''}

@data
102,'rubber chicken purse',review,265,0.584906,0.415094,0.003774,0.116981,0.030189,0.135849,0.056604,0.05283,0.011321,0.358491,'\'(3.4-4.2]\''
102,'rubber chicken purse',title,8,0.25,0.75,0,0.25,0.125,0.25,0.125,0,0,0.75,'\'(3.4-4.2]\''
103,'rubber chicken purse',review,168,0.553571,0.446429,0,0.125,0.029762,0.14881,0.107143,0.077381,0.017857,0.39881,'\'(4.2-inf)\''
103,'rubber chicken purse',title,16,0.6875,0.3125,0,0.125,0.0625,0.25,0.1875,0.0625,0.0625,0.625,'\'(4.2-inf)\''
104,'rubber chicken purse',review,46,0.413043,0.586957,0,0.195652,0.021739,0.130435,0.065217,0.108696,0.021739,0.543478,'\'(3.4-4.2]\''
104,'rubber chicken purse',title,6,0.333333,0.666667,0,0.333333,0,0,0,0.333333,0,0.833333,'\'(3.4-4.2]\''
105,'rubber chicken purse',review,14,0.428571,0.571429,0,0.071429,0.071429,0.285714,0.071429,0.142857,0,0.642857,'\'(1.8-2.6]\''
105,'rubber chicken purse',title,6,0.333333,0.666667,0,0.333333,0,0.166667,0.166667,0,0,0.666667,'\'(1.8-2.6]\''
106,'rubber chicken purse',review,13,0.307692,0.692308,0,0.230769,0,0.153846,0.230769,0.076923,0,0.461538,'\'(2.6-3.4]\''
106,'rubber chicken purse',title,3,0.666667,0.333333,0,0.333333,0,0,0,0,0,0.333333,'\'(2.6-3.4]\''
107,'rubber chicken purse',review,28,0.607143,0.392857,0,0.107143,0.035714,0.25,0.107143,0,0.035714,0.464286,'\'(2.6-3.4]\''
107,'rubber chicken purse',title,9,0.777778,0.222222,0,0.111111,0.111111,0.333333,0.111111,0,0,0.555556,'\'(2.6-3.4]\''
108,'rubber chicken purse',review,7,0.714286,0.285714,0,0.285714,0.142857,0.142857,0,0,0,0.857143,'\'(4.2-inf)\''
108,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
109,'rubber chicken purse',review,27,0.592593,0.407407,0,0.074074,0.074074,0.185185,0.111111,0.148148,0.037037,0.518519,'\'(4.2-inf)\''
109,'rubber chicken purse',title,11,0.545455,0.454545,0,0,0.090909,0.090909,0.272727,0.272727,0.090909,0.727273,'\'(4.2-inf)\''
110,'rubber chicken purse',review,26,0.384615,0.615385,0,0.192308,0.115385,0.115385,0.076923,0.076923,0,0.461538,'\'(4.2-inf)\''
110,'rubber chicken purse',title,5,0.2,0.8,0,0.2,0.2,0.2,0,0.2,0,0.6,'\'(4.2-inf)\''
111,'rubber chicken purse',review,81,0.530864,0.469136,0,0.17284,0.074074,0.135802,0.061728,0.061728,0,0.481481,'\'(4.2-inf)\''
111,'rubber chicken purse',title,5,0.2,0.8,0,0.4,0.2,0.2,0,0,0,0.6,'\'(4.2-inf)\''
112,'rubber chicken purse',review,5,0.2,0.8,0,0.2,0.2,0.2,0,0,0,0.6,'\'(4.2-inf)\''
112,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
113,'rubber chicken purse',review,3,0.333333,0.666667,0,0.333333,0.333333,0,0,0.333333,0,1,'\'(4.2-inf)\''
113,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
114,'rubber chicken purse',review,64,0.5625,0.4375,0,0.15625,0.03125,0.21875,0.0625,0.0625,0,0.453125,'\'(3.4-4.2]\''
114,'rubber chicken purse',title,5,0.2,0.8,0,0.4,0,0.2,0.2,0,0,0.8,'\'(3.4-4.2]\''
115,'rubber chicken purse',review,26,0.538462,0.461538,0,0.192308,0.115385,0.192308,0.076923,0,0,0.615385,'\'(4.2-inf)\''
115,'rubber chicken purse',title,4,0.25,0.75,0,0.5,0,0.25,0,0,0,1,'\'(4.2-inf)\''
116,'rubber chicken purse',review,15,0.266667,0.733333,0,0.133333,0,0.133333,0.2,0.066667,0,0.533333,'\'(4.2-inf)\''
116,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
117,'rubber chicken purse',review,8,0.625,0.375,0,0.375,0.125,0.125,0,0,0,0.75,'\'(4.2-inf)\''
117,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
118,'rubber chicken purse',review,7,0.571429,0.428571,0,0.285714,0.142857,0.142857,0,0,0,0.571429,'\'(4.2-inf)\''
118,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
119,'rubber chicken purse',review,9,0.222222,0.777778,0,0.222222,0,0,0.111111,0.222222,0,0.666667,'\'(4.2-inf)\''
119,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
120,'rubber chicken purse',review,35,0.314286,0.685714,0,0.2,0.057143,0.142857,0.028571,0.114286,0.028571,0.657143,'\'(-inf-1.8]\''
120,'rubber chicken purse',title,14,0.214286,0.785714,0,0.214286,0.071429,0.071429,0.071429,0.142857,0,0.642857,'\'(-inf-1.8]\''
121,'rubber chicken purse',review,21,0.380952,0.619048,0,0.333333,0,0.047619,0,0.095238,0,0.714286,'\'(4.2-inf)\''
121,'rubber chicken purse',title,10,0.2,0.8,0,0.4,0,0.1,0.1,0.1,0,0.7,'\'(4.2-inf)\''
122,'rubber chicken purse',review,24,0.5,0.5,0,0.166667,0.125,0.25,0,0,0,0.5,'\'(4.2-inf)\''
122,'rubber chicken purse',title,1,0,1,0,1,0,0,0,0,0,1,'\'(4.2-inf)\''
123,'rubber chicken purse',review,3,0,1,0,0.333333,0,0,0,0.333333,0,0.666667,'\'(4.2-inf)\''
123,'rubber chicken purse',title,2,0,1,0,0.5,0,0,0,0,0,0.5,'\'(4.2-inf)\''
124,'rubber chicken purse',review,13,0.615385,0.384615,0,0.153846,0.230769,0.153846,0.076923,0,0,0.538462,'\'(4.2-inf)\''
